run_id,model_class,provider,baseline_provider,calibration_hash_status,summary_status,trajectory_status,manifest_status,overall_status,failure_reason
R_42_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_42_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_42_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_42_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_42_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_43_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_43_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_barabasi_albert_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_STATIC_0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_STATIC_1000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_STATIC_5000.0_emp,STATIC_BASELINE,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_44_watts_strogatz_0.3_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_ws_0.15_0_emp_cog,HYBRID_COGNITIVE_ABM,mock,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_ws_0.15_1000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_44_ws_0.15_5000.0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_45_barabasi_albert_0.05_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_45_barabasi_albert_0.05_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_45_barabasi_albert_0.15_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
R_45_barabasi_albert_0.15_0_emp,DETERMINISTIC_EMPIRICAL_ABM,N/A,empirical,VALID,VALID,VALID,VALID,VALID,
R_45_barabasi_albert_0.3_0_const,DETERMINISTIC_EMPIRICAL_ABM,N/A,constant,VALID,VALID,VALID,VALID,VALID,
