run_id,experiment_id,model_class_x,topology,beta,seed,subsidy,dynamic_policy_x,population_size,horizon,status,provider,calibration_artifact_sha256,config_sha256,summary_sha256,trajectory_sha256,model_class_y,dynamic_policy_y,final_adoption,initial_budget,total_expenditure,exhaustion_quarter,exhaustion_subsidy,exhaustion_adoption,target_reached,saturation_reached,total_llm_calls,total_cache_hits,total_cache_misses,expenditure_millions,policy_efficiency,emissions_efficiency,time_to_50,peak_velocity,tipping_occurred
R3_DET_1000.0_False_barabasi_albert_42,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,42,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,33566dfb16c65fe83de9055bc3d3a2f157618c8b0e0d66b93313c8918af7fd68,a01ec06fb7db21db73582656865cfe78cdec9545fc43c943c1a39b5e05289955,980b3b742f91362f1861af09ad0b5b51c11bb8982ff6a72fb1ccf538dab5e0c7,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9997,2060,7937,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_43,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,43,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,9187820afe438695613fd4cedb204ffd400eafbca82fa41cfd0f904f10a79c1d,5787df1a097ab665e70ad52117644861b5f3fac271ea3dcd18dd3789bbf44472,8ec490d3ec3a1da248c20ca26b0fd9c5564ca7f0ee232fac4b23f32737fb4703,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9988,2080,7908,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_44,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,44,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,24de4a1d642e4fd03c5617d7465539b674ca4ad43528d6fce9a084b5d1680f35,83de9f202cd16b1c5835e0bf3599c35b2df6d0ba94bbd163e86ee90dae103446,5cce651f18ef5f12c90e4b4cd6058071aefd4645733cc741d400847ff0c45df7,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9985,2221,7764,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_45,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,45,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,0a19435f3fa7b4e32edb81a5dc0b541ae1d4b40aa4cbb5275c92cafff2f6a8ff,178be4fbcd904182a35ec0bd625c4be6df1ead432134386de09ecf442d8d4485,7e507b131839fd2a7b073a7855729b7e91f5686d7c52a0f8690fd2e52731ae46,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9990,2542,7448,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_46,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,46,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,ef7761e219b67be3bf9fa155e8fc07ad61a7cb5d157b0552a08d0804686c4061,eb5252b3007577098e6882c4dc711666c2461a5560bb1c6cd6e3692ec21a4e67,eef257d9397811ab932d704ae4435695e68b0b38126c829975a6b2af3ac4ea3e,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,10029,2182,7847,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_47,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,47,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,61371e6b1ad56d8ffb25736db4f0c2d01b9ed3683e11641db62c366e6ee8b359,d90d0414cc13ff2b460edf79cd49c9860f46b1e6c289010feec0ee97e80c4bb7,856315bd18ae4b8575b73f72a4eb01ba8505e87b8f8db7956bea44d38ec4ab4e,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,10004,2040,7964,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_48,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,48,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,295a33473a8f58e0972f637d1c22a9c9bd00e7cb1265cc5fbbb0b8634f9b371f,63b4975e1507e1420d00fed4c0703645ffc03364b309131be33202361acee94c,97699b8b652d3b84003544e4677eec3e43623331fa88e4350c1959670bdab148,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9989,2060,7929,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_49,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,49,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,cca924d2f8c27ad94ce7404d8f41770e4d62f03f13b82191ffdeef38e99979e2,a191c358bf9c707d46b923da803662ee0944af77ea9c5aa0070f1346319749c4,03a7ec4ff7413b3743b85ff8a713de9648ac7c97b190cf4860531102236f9c2e,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9989,2160,7829,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_50,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,50,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,50401173ef2835ecf63a86962a6b2eca410f21ad47084297043ebbbc79e31978,3ce1a7a13db4fd5954d7ad64465e613db3929d6c1c697197e1986ca508c04c62,c98f66f2aa58b93e67a299c97a737b042e46476432de7af6fd6c189ac13421f4,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9991,2181,7810,0.0,5000000000.0,20500000000.0,25,5,0
R3_DET_1000.0_False_barabasi_albert_51,phase_4f_3,DETERMINISTIC_EMPIRICAL_ABM,barabasi_albert,0.15,51,1000.0,False,500,24,COMPLETED,N/A,0d5acf7ef798ebd814d6a6431f9b9f1da36789c0225120f4468d78c2e9f1d241,084a197467d412376cf3a83ef98e9498978eb87eac27420690c9f0fb25499f68,f2ff5cce4ea818cf52debe127e28abcf8a870d662c60ecbfe7ee2e039e1a973a,d7aedbc993d9d1fcc0bc37fffd7bd3dd1da8d5cd8717dd18151c0533efcbb2dc,DETERMINISTIC_EMPIRICAL_ABM,False,5,1000000.0,0.0,,,,False,False,9992,2141,7851,0.0,5000000000.0,20500000000.0,25,5,0
